Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ca-2016-152156,2016-11-08,2016-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-bo-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,2,0.0,41.9136
2,ca-2016-152156,2016-11-08,2016-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,fur-ch-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,0.0,219.582
3,ca-2016-138688,2016-06-12,2016-06-16,second class,dv-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,off-la-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,2,0.0,6.8714
4,us-2015-108966,2015-10-11,2015-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,5,0.45,-383.031
5,us-2015-108966,2015-10-11,2015-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,off-st-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,2,0.2,2.5164
6,ca-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,fur-fu-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,7,0.0,14.1694
8,ca-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,tec-ph-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,6,0.2,90.7152
9,ca-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-bi-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,3,0.2,5.7825
10,ca-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,off-ap-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,5,0.0,34.47
11,ca-2014-115812,2014-06-09,2014-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,fur-ta-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,9,0.2,85.3092
13,ca-2017-114412,2017-04-15,2017-04-20,standard class,aa-10480,andrew allen,consumer,united states,concord,north carolina,28027,south,off-pa-10002365,office supplies,paper,xerox 1967,15.552,3,0.2,5.4432
